POS,Player,Ov,Runs,Wkts,Maid,Dots,SR,Against,Venue,Match Date,Year
60,Khaleel Ahmed,4.0,30,3,0,13,8.0,DC,Rajiv Gandhi Intl. Cricket Stadium,2019-04-14,2019
61,Marcus Stoinis,4.0,32,1,0,13,24.0,KKR,Eden Gardens,2019-04-19,2019
62,Lasith Malinga,4.0,34,3,0,13,8.0,CSK,Wankhede Stadium,2019-04-03,2019
63,Ishant Sharma,4.0,34,2,0,13,12.0,MI,Wankhede Stadium,2019-03-24,2019
64,Bhuvneshwar Kumar,4.0,34,1,0,13,24.0,MI,Rajiv Gandhi Intl. Cricket Stadium,2019-04-06,2019
65,Mohammed Siraj,4.0,38,0,0,13,0.0,KKR,Eden Gardens,2019-04-19,2019
66,Krunal Pandya,3.0,7,2,0,12,9.0,CSK,Chidambaram,2019-04-26,2019
67,Mohammad Nabi,4.0,13,1,0,12,24.0,MI,Rajiv Gandhi Intl. Cricket Stadium,2019-04-06,2019
68,Jasprit Bumrah,3.0,10,2,0,12,9.0,CSK,Chidambaram,2019-04-26,2019
69,Rahul Tewatia,3.0,10,1,0,12,18.0,SRH,Arun Jaitley Stadium,2019-04-04,2019
70,Imran Tahir,3.2,12,4,0,12,5.0,DC,Chidambaram,2019-05-01,2019
71,Axar Patel,4.0,16,0,0,12,0.0,RR,Arun Jaitley Stadium,2019-05-04,2019
72,Kuldeep Yadav,4.0,16,0,0,12,0.0,CSK,Chidambaram,2019-04-09,2019
73,Deepak Chahar,4.0,17,0,0,12,0.0,RCB,Chidambaram,2019-03-23,2019
74,Moeen Ali,4.0,18,2,0,12,12.0,MI,Wankhede Stadium,2019-04-15,2019
75,Jofra Archer,3.0,14,0,0,12,0.0,KKR,Sawai Mansingh Stadium,2019-04-07,2019
76,Deepak Chahar,4.0,19,2,1,12,12.0,RR,Chidambaram,2019-03-31,2019
77,Sunil Narine,4.0,19,2,1,12,12.0,CSK,Eden Gardens,2019-04-14,2019
78,Deepak Chahar,4.0,20,1,0,12,24.0,DC,Arun Jaitley Stadium,2019-03-26,2019
79,Rashid Khan,4.0,21,3,0,12,8.0,PBKS,Rajiv Gandhi Intl. Cricket Stadium,2019-04-29,2019
80,Bhuvneshwar Kumar,4.0,21,0,0,12,0.0,CSK,Rajiv Gandhi Intl. Cricket Stadium,2019-04-17,2019
81,Jasprit Bumrah,4.0,23,2,0,12,12.0,RR,Wankhede Stadium,2019-04-13,2019
