Players,Team,Type,Base,Sold
Obed McCoy,-,BOWL,1,
Riley Meredith,-,BOWL,1,
Lance Morris,-,BOWL,1,
Olly Stone,-,BOWL,0,
Daniel Worrall,-,BOWL,1,
Pyla Avinash,PBKS,BAT,0,0.3
Kiran Chormale,-,BAT,0,
Ashish Dahariya,-,BAT,0,
Tushar Raheja,-,BAT,0,
Sarthak Ranjan,-,BAT,0,
Abhijeet Tomar,-,BAT,0,
Krish Bhagat,-,AR,0,
Sohraab Dhaliwal,-,AR,0,
Harsh Dubey,-,AR,0,
Ramakrishna Ghosh,CSK,AR,0,0.3
Raj Limbani,-,AR,0,
Ninad Rathva,-,AR,0,
Vivrant Sharma,-,AR,0,
Shiva Singh,-,AR,0,
Sayed Irfan Aftab,-,BOWL,0,
Anirudh Chowdhary,-,BOWL,0,
Siddarth Kaul,-,BOWL,0,
Prashant Painkra,-,BOWL,0,
Satyanarayana Raju,MI,BOWL,0,0.3
Yeddala Reddy,-,BOWL,0,
Zakary Foulkes,-,AR,0,
Chris Green,-,AR,1,
Shakib Al Hasan,-,AR,1,
Mehidy Hasan Miraz,-,AR,1,
Wiaan Mulder,-,AR,0,
Dwaine Pretorius,-,AR,0,
Dasun Shanaka,-,AR,0,
Shoriful Islam,-,BOWL,0,
Blessing Muzarabani,-,BOWL,0,
Matthew Potts,-,BOWL,1,
Tanzim Hasan Sakib,-,BOWL,0,
Ben Sears,-,BOWL,1,
Tim Southee,-,BOWL,1,
John Turner,-,BOWL,1,
Joshua Brown,-,BAT,0,
Oliver Davies,-,BAT,0,
Bevon Jacobs,MI,BAT,0,0.3
Atharva Kale,-,BAT,0,
Abhishek Nair,-,BAT,0,
Vishwanath Singh,-,BAT,0,
Lone Nasir,-,AR,0,
Brandon McMullen,-,AR,0,
Sudhesan Midhun,-,AR,0,
Abid Mushtaq,-,AR,0,
Mahesh Pithiya,-,AR,0,
Maramreddy Reddy,-,AR,0,
Atit Sheth,-,AR,0,
Jonty Sidhu,-,AR,0,
Mohit Avasthi,-,BOWL,0,
Faridoon Dawoodzai,-,BOWL,0,
Praful Hinge,-,BOWL,0,
Pankaj Jaswal,-,BOWL,0,
Vijay Kumar,-,BOWL,0,
Ashok Sharma,RR,BOWL,0,0.3
Mujtaba Yousuf,-,BOWL,0,
Ashton Agar,-,AR,1,
Roston Chase,-,AR,0,
Junior Dala,-,AR,0,
Mahedi Hasan,-,AR,0,
Nangeyalia Kharote,-,AR,0,
Dan Lawrence,-,AR,1,
Nathan Smith,-,AR,1,
James Anderson,-,BOWL,1,
Kyle Jamieson,-,BOWL,1,
Chris Jordan,-,BOWL,2,
Hasan Mahmud,-,BOWL,0,
Tymal Mills,-,BOWL,2,
David Payne,-,BOWL,1,
Nahid Rana,-,BOWL,0,
Prayas Ray Barman,-,BAT,0,
Jafar Jamal,-,BAT,0,
Ayaz Khan,-,BAT,0,
Kaushik Maity,-,BAT,0,
Rituraj Sharma,-,BAT,0,
Vaibhav Suryavanshi,RR,BAT,0,1.1
Kartik Chadha,-,AR,0,
Writtick Chatterjee,-,AR,0,
Prerit Dutta,-,AR,0,
Rajneesh Gurbani,-,AR,0,
Shubhang Hegde,-,AR,0,
Saransh Jain,-,AR,0,
Ripal Patel,-,AR,0,
Akash Vasisht,-,AR,0,
Anirudh Kanwar,-,BOWL,0,
Shubham Kapse,-,BOWL,0,
Atif Mushtaq,-,BOWL,0,
Dipesh Parwani,-,BOWL,0,
Manish Reddy,-,BOWL,0,
Chetan Sharma,-,BOWL,0,
Avinash Singh,-,BOWL,0,
Alick Athanaze,-,AR,0,
Hilton Cartwright,-,AR,0,
Dominic Drakes,-,AR,1,
Daryn Dupavillon,-,BOWL,0,
Matthew Forde,-,AR,1,
Patrick Kruger,-,AR,0,
Lahiru Kumara,-,BOWL,0,
